PBSlen,4.143417069375764
RTlen,10.589173909172578
RT-PBSlen,10.873423336921787
Edit_pos,8.196556589782816
Edit_len,0.5636258493906752
RHA_len,7.58069568669579
type_sub,0.49819444968073634
type_ins,0.4234686808190085
type_del,0.4160826310621752
Tm1,65.34885808298728
Tm2,29.12413273254458
Tm2new,30.698061245645714
Tm3,79.88007638903673
Tm4,28.015524271171394
TmD,85.18051254108323
nGCcnt1,2.4328088591579946
nGCcnt2,5.635681327909084
nGCcnt3,5.922091068088858
fGCcont1,17.564611995611468
fGCcont2,13.546277629429294
fGCcont3,10.831203470799293
MFE3,4.0425063458742665
MFE4,1.7100108314742515
DeepSpCas9_score,19.416545110256134
